species,decimalLatitude,decimalLongitude,prediction
Alcedo atthis,21.128706,79.040489,5
Alcedo atthis,23.640378,88.129937,4
Alcedo atthis,24.351162,88.107437,4
Alcedo atthis,26.017328,76.502571,0
Alcedo atthis,26.222754,91.469421,2
Alcedo atthis,32.722991,74.876327,6
Alcedo atthis,34.09205,74.867969,6
Alcedo atthis,34.118221,74.831703,6
Alcedo meninting,14.619529,74.844063,3
Alcedo meninting,15.439055,74.252609,3
Alcippe cinerea,27.136147,92.454926,2
Alcippe cinerea,28.216534,95.796234,2
Alectoris chukar,30.455093,77.945309,6
Alectoris chukar,34.154999,77.585449,6
Alepes djedaba,9.931233,76.267304,1
Algia fasciata,25.134853,92.380643,2
Allamanda blanchetii,11.934582,79.808754,7
Allamanda blanchetii,22.430889,87.321487,4
Allamanda cathartica,8.895029,76.66726,1
Allamanda cathartica,9.497347,76.319672,1
Allamanda cathartica,9.527496,76.732105,1
Allamanda cathartica,9.556635,76.340231,1
Allamanda cathartica,10.452874,76.297146,1
Allamanda cathartica,19.9684,85.8735,4
Allamanda cathartica,26.144358,91.642067,2
Allium cepa,22.681169,88.352081,4
Allium hookeri,25.143525,94.283342,2
Allmania nodiflora,13.170984,80.199112,7
Allophylus cobbe,12.979617,79.137535,7
Alloteropsis cimicina,19.168195,73.286856,8
Alnus nepalensis,25.612099,91.897713,2
Alnus nepalensis,32.113953,77.164337,6
Aloa lactinea,13.066737,77.575615,7
Aloa lactinea,20.669276,75.229079,8
Aloe vera,9.369502,76.460342,1
Aloe vera,9.48536,76.499198,1
Aloe vera,9.952062,76.249457,1
Aloe vera,10.0127,76.2231,1
Aloe vera,10.0375,76.2959,1
Aloe vera,10.292274,76.165332,1
Aloe vera,10.511146,76.258424,1
Aloe vera,22.2699,70.7846,8
Aloe vera,22.536613,72.958267,8
Alophoixus flaveolus,26.9121,70.9182,0
Alpinia calcarata,8.696389,77.005833,1
Alseodaphne semecarpifolia,14.608448,74.845413,3
Alseodaphne semecarpifolia,14.617094,74.844864,3
Alsophila crinita,10.180626,77.189598,1
Alsophila nilgirensis,9.440478,77.160347,1
Alstonia macrophylla,11.93203,79.816124,7
Alstonia scholaris,10.005556,76.931667,1
Alstonia scholaris,10.7922,75.9517,1
Alstonia scholaris,12.86068,74.85596,3
Alstonia scholaris,12.881985,77.639671,7
Alstonia scholaris,12.978333,77.659721,7
Alstonia scholaris,14.6195,74.835403,3
Alstonia scholaris,15.327428,73.911705,3
Alstonia scholaris,19.3139,84.8016,4
Alstonia scholaris,20.1664,85.6139,4
Alstonia scholaris,20.2772,85.8431,4
Alstonia scholaris,23.1909,86.06,4
Alstonia scholaris,25.2313,75.8381,0
Alstonia scholaris,26.160215,91.66597,2
Alstonia scholaris,26.218287,78.182831,0
Alstonia scholaris,26.8561,75.8017,0
Alstonia venenata,8.709838,77.129105,1
Alternanthera bettzickiana,11.940657,79.766083,7
Alternanthera ficoidea,8.549304,76.977264,1
Alternanthera philoxeroides,12.971599,77.594563,7
Alternanthera pungens,12.044741,78.149317,7
Alternanthera sessilis,9.481802,76.388008,1
Alternanthera sessilis,9.617545,76.430092,1
Alternanthera sessilis,11.854699,79.347351,7
Alternanthera sessilis,21.769949,88.231513,4
Alysicarpus longifolius,22.744108,77.736969,0
Amandava amandava,13.070292,77.769526,7
Amandava amandava,15.139393,76.921443,3
Amandava amandava,16.690504,74.210594,8
Amaranthus caudatus,9.322183,76.383987,1
Amaranthus spinosus,25.187439,93.01429,2
Amaranthus spinosus,26.154375,91.659416,2
Amaranthus viridis,11.924641,79.830772,7
Amaranthus viridis,20.1919,85.4113,4
Amaranthus viridis,26.154375,91.659416,2
Amata passalis,8.490167,77.036051,1
Amata passalis,8.759837,76.782697,1
Amata passalis,12.879063,77.609749,7
Amata passalis,13.044519,80.279035,7
Amata passalis,13.3025,77.1606,7
Amata passalis,19.6681,85.0817,4
Amata passalis,20.197,85.429,4
Amata passalis,20.1974,85.4395,4
Amata passalis,20.1976,85.4399,4
Amata passalis,21.1377,72.7446,8
Amata passalis,22.194485,88.183578,4
Amata passalis,25.26772,82.991258,4
Amata phegea,8.549304,76.977264,1
Amata sperbius,24.43202,92.330688,2
Amathuxidia amythaon,24.352674,92.344815,2
Amaurornis akool,17.33077,78.390152,5
Amaurornis akool,17.331196,78.390717,5
Amaurornis phoenicurus,10.547396,76.230881,1
Amaurornis phoenicurus,12.303066,76.673393,7
Amaurornis phoenicurus,12.425021,76.653542,7
Amaurornis phoenicurus,12.965736,77.584724,7
Amaurornis phoenicurus,15.488784,73.927902,3
Amaurornis phoenicurus,16.688749,74.210808,8
Amaurornis phoenicurus,17.157099,74.080856,8
Amaurornis phoenicurus,18.977926,72.837769,8
Amaurornis phoenicurus,19.048511,84.456646,4
Amaurornis phoenicurus,20.116846,79.273819,5
Amaurornis phoenicurus,22.6196,88.0019,4
Amaurornis phoenicurus,25.1857,75.8533,0
Amaurornis phoenicurus,26.145576,91.842957,2
Amaurornis phoenicurus,26.652849,92.792557,2
